他,need,を必要とする
形,necessary,必要な
副,ahead,前方へ
形,previous,前の
名,component,要素，部品
名,lifestyle,生活様式
他,shift,を変える
他,join,に参加する
自,participate,参加する
他自,drink,飲む
自,laugh,笑う
名,origin,起源
名,resource,資源
自,lie,横たわっている
他,cheat,をだます
他,deceive,をだます
名,climate,気候
名,architecture,建築
名,globe,地球
名,shade,陰
他,avoid,を避ける
他,burn,を焼く
他,pack,を詰める
他,pour,を注ぐ
自,cool,冷える
名,factor,要因
他,drive,を駆り立てる
副,primarily,主として
形,primary,主要な
形,elementary,初歩の
形,social,社会の
名,value,価値
他,demand,を要求する
形,equal,等しい
名,emphasis,強調，重点
名,tourist,旅行者
名,board,板
名,opportunity,機会
自,talk,話す
名,issue,問題
名,communication,伝達
名,conversation,会話
他,entertain,を楽しませる
他,amuse,を楽しませる
他,bore,を退屈させる
形,dull,退屈な，つまらない
名,guest,招待客
他,combine,を組み合わせる
形,progressive,進歩的な
名,advance,進歩
他,improve,を改善する
他,enhance,を高める
自,gather,集まる
他,collect,を集める
名,course,進路
副,once,１度
前,toward,の方へ
形,entire,全体の
他,base,の基礎を置く
形,basic,基礎の
名,theme,主題，テーマ
名,subject,主題
他,dress,に衣装を着せる
副,according,～によれば
名,customer,顧客
名,client,依頼人
名,passenger,乗客
名,audience,視聴者
形,successful,成功した
名,success,成功
自,succeed,成功する
名,location,場所
形,tiring,疲れさせる，骨の折れる
他,stop,をやめる
他,prevent,を防ぐ
他,disturb,を邪魔する
自他,interrupt,さえぎる
他,abandon,捨てる
名,division,部門
他,divide,を分割する
他,separate,を分ける
形,overall,全体の
自,serve,仕える
名,service,サービス
形,final,最後の
形,ultimate,究極の
名,dessert,デザート
副,apart,離れて
副,perhaps,ひょっとすると，おそらく
名,ingredient,材料
他,share,を共有する
他,distribute,を分配する
形,famous,有名な
形,modern,現代の
形,ancint,古代の
名,doctor,医者
形,public,公共の
形,official,公の
形,private,個人の
名,region,地域
名,district,地域
他,solve,を解決する
他,resolve,を解決する
他,settle,を決める
名,mystery,不思議
他自,hope,望む
他自,wish,願う
名,secret,秘密
形,medical,医学の
名,medicine,薬
名,poison,毒
名,therapy,治療
名,surgery,手術
名,age,年齢
形,physical,身体の
形,mantal,精神的な
名,benefit,恩恵
名,field,畑
名,ground,土地
名,surface,表面
形,rough,ざらざらした
形,smooth,平らな
形,simple,簡単な
名,diet,食事
名,vitamin,ビタミン
名,nutrition,栄養
形,low,低い
自,rise,上がる
他,lift,を上げる
形,fat,太っている
名,generation,世代
名,infant,幼児
名,childhood,子供時代
名,teenager,１０代の若者
名,youth,若者
形,senior,先輩の
形,elder,年上の
名,profit,利益
名,advantage,有利
名,merit,長所